year,measure,metric,sex,age,pop_cnt
1960,Population,Number,female,All Ages,211208510.0382076
1961,Population,Number,female,All Ages,215448397.1303626
1962,Population,Number,female,All Ages,219866904.4639709
1963,Population,Number,female,All Ages,224467038.92944324
1964,Population,Number,female,All Ages,229241469.40996197
1965,Population,Number,female,All Ages,234051146.36145508
1966,Population,Number,female,All Ages,238884649.25822893
1967,Population,Number,female,All Ages,243883988.77965945
1968,Population,Number,female,All Ages,249174721.08712155
1969,Population,Number,female,All Ages,254771738.37748423
1970,Population,Number,female,All Ages,259721209.83704796
1971,Population,Number,female,All Ages,265082021.83666983
1972,Population,Number,female,All Ages,272629449.956525
1973,Population,Number,female,All Ages,280345739.19084203
1974,Population,Number,female,All Ages,287355823.25440836
1975,Population,Number,female,All Ages,294655662.34413123
1976,Population,Number,female,All Ages,302242274.19456774
1977,Population,Number,female,All Ages,310099120.7488767
1978,Population,Number,female,All Ages,318172412.84768236
1979,Population,Number,female,All Ages,326447109.96872556
1980,Population,Number,female,All Ages,334801733.692417
1981,Population,Number,female,All Ages,343076704.3869649
1982,Population,Number,female,All Ages,351162420.78712296
1983,Population,Number,female,All Ages,359055021.39949745
1984,Population,Number,female,All Ages,366724976.80094457
1985,Population,Number,female,All Ages,374174151.0150877
1986,Population,Number,female,All Ages,381451556.2299665
1987,Population,Number,female,All Ages,388626830.4347819
1988,Population,Number,female,All Ages,395758313.6020064
1989,Population,Number,female,All Ages,402933548.3624144
1990,Population,Number,female,All Ages,410249881.0283014
1991,Population,Number,female,All Ages,417747574.44213027
1992,Population,Number,female,All Ages,425453977.5205241
1993,Population,Number,female,All Ages,433423538.3468049
1994,Population,Number,female,All Ages,441737266.2240961
1995,Population,Number,female,All Ages,450376216.17723405
1996,Population,Number,female,All Ages,459278491.9715899
1997,Population,Number,female,All Ages,468345885.6023861
1998,Population,Number,female,All Ages,477521039.3372817
1999,Population,Number,female,All Ages,486833089.6783838
2000,Population,Number,female,All Ages,496293086.580458
2001,Population,Number,female,All Ages,505876527.9871902
2002,Population,Number,female,All Ages,515605549.203698
2003,Population,Number,female,All Ages,525555349.44457275
2004,Population,Number,female,All Ages,535750274.0776341
2005,Population,Number,female,All Ages,546064364.7511158
2006,Population,Number,female,All Ages,556364377.2739344
2007,Population,Number,female,All Ages,566625612.8172191
2008,Population,Number,female,All Ages,576833818.550852
2009,Population,Number,female,All Ages,587023291.651861
2010,Population,Number,female,All Ages,597160572.839562
2011,Population,Number,female,All Ages,607095361.4906023
2012,Population,Number,female,All Ages,616788531.7807685
2013,Population,Number,female,All Ages,626266276.9055986
2014,Population,Number,female,All Ages,635511692.8115692
2015,Population,Number,female,All Ages,644480939.6790967
2016,Population,Number,female,All Ages,653160614.0131285
2017,Population,Number,female,All Ages,661562645.6349792
2018,Population,Number,female,All Ages,669650398.7318546
2019,Population,Number,female,All Ages,677520860.982584
