year,measure,metric,sex,age,pop_cnt
1960,Population,Number,male,All Ages,225163720.04593807
1961,Population,Number,male,All Ages,229943790.06611076
1962,Population,Number,male,All Ages,234969277.6559123
1963,Population,Number,male,All Ages,240236604.91951105
1964,Population,Number,male,All Ages,245732812.21223903
1965,Population,Number,male,All Ages,251285976.79239556
1966,Population,Number,male,All Ages,256874787.62025064
1967,Population,Number,male,All Ages,262656243.42537087
1968,Population,Number,male,All Ages,268765341.7706428
1969,Population,Number,male,All Ages,275199991.59667444
1970,Population,Number,male,All Ages,280658643.45258015
1971,Population,Number,male,All Ages,286530739.7481079
1972,Population,Number,male,All Ages,295164105.73595583
1973,Population,Number,male,All Ages,303803446.32880676
1974,Population,Number,male,All Ages,311251051.6505204
1975,Population,Number,male,All Ages,318931377.984761
1976,Population,Number,male,All Ages,326830759.0925476
1977,Population,Number,male,All Ages,334991097.14638156
1978,Population,Number,male,All Ages,343399497.46861935
1979,Population,Number,male,All Ages,352020178.4282838
1980,Population,Number,male,All Ages,360745119.0728402
1981,Population,Number,male,All Ages,369432130.996433
1982,Population,Number,male,All Ages,378108397.96384245
1983,Population,Number,male,All Ages,386790469.4353353
1984,Population,Number,male,All Ages,395370177.4022777
1985,Population,Number,male,All Ages,403836765.2068929
1986,Population,Number,male,All Ages,412218476.30117494
1987,Population,Number,male,All Ages,420520414.11478025
1988,Population,Number,male,All Ages,428751937.93282354
1989,Population,Number,male,All Ages,436987822.6924279
1990,Population,Number,male,All Ages,445335750.7550284
1991,Population,Number,male,All Ages,453806579.57330775
1992,Population,Number,male,All Ages,462404328.28999335
1993,Population,Number,male,All Ages,471152967.40734434
1994,Population,Number,male,All Ages,480063335.2882004
1995,Population,Number,male,All Ages,489145488.6626424
1996,Population,Number,male,All Ages,498370981.2635063
1997,Population,Number,male,All Ages,507624282.1913895
1998,Population,Number,male,All Ages,516882914.89104635
1999,Population,Number,male,All Ages,526242481.9898046
2000,Population,Number,male,All Ages,535702116.4410035
2001,Population,Number,male,All Ages,545218963.832598
2002,Population,Number,male,All Ages,554846047.3445871
2003,Population,Number,male,All Ages,564649327.5080878
2004,Population,Number,male,All Ages,574655906.0080066
2005,Population,Number,male,All Ages,584766992.6995394
2006,Population,Number,male,All Ages,594841909.1150105
2007,Population,Number,male,All Ages,604833093.9948857
2008,Population,Number,male,All Ages,614697257.4589913
2009,Population,Number,male,All Ages,624478907.2894809
2010,Population,Number,male,All Ages,634196085.1246257
2011,Population,Number,male,All Ages,643736824.4230311
2012,Population,Number,male,All Ages,653067001.8728607
2013,Population,Number,male,All Ages,662227968.6688561
2014,Population,Number,male,All Ages,671252010.1685401
2015,Population,Number,male,All Ages,680132717.2994233
2016,Population,Number,male,All Ages,688808354.1798452
2017,Population,Number,male,All Ages,697220792.8396308
2018,Population,Number,male,All Ages,705310565.1704391
2019,Population,Number,male,All Ages,713186106.6079489
