measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,India,Male,All ages,Environmental heat and cold exposure,Rate,1991,1.6385944360579523,2.212326851418874,0.2601076606190188
Deaths,India,Female,All ages,Environmental heat and cold exposure,Rate,1991,0.6245562815063512,1.047729768336423,0.06709379908302616
Deaths,India,Both,All ages,Environmental heat and cold exposure,Rate,1991,1.1525523725739637,1.5950172823612287,0.19757582029761728
Deaths,India,Male,All ages,Environmental heat and cold exposure,Rate,1990,1.6684861475963915,2.2388905802404286,0.3023047035987767
Deaths,India,Female,All ages,Environmental heat and cold exposure,Rate,1990,0.6401563041099647,1.075123315377039,0.08019291290566498
Deaths,India,Both,All ages,Environmental heat and cold exposure,Rate,1990,1.1754061094606032,1.617846855286874,0.22597198767134472
Deaths,India,Male,All ages,Environmental heat and cold exposure,Rate,1994,1.5819120419857193,2.1205533966192798,0.2719639134133185
Deaths,India,Female,All ages,Environmental heat and cold exposure,Rate,1994,0.5981218174474665,0.971069614526849,0.07326884918779969
Deaths,India,Both,All ages,Environmental heat and cold exposure,Rate,1994,1.1104686478150572,1.5178527684604977,0.20464509572681847
Deaths,India,Male,All ages,Environmental heat and cold exposure,Rate,1998,1.9236945771655423,2.433825740836496,0.6368716900104168
Deaths,India,Female,All ages,Environmental heat and cold exposure,Rate,1998,0.7047021677133537,1.0578072976107855,0.18651522402185589
Deaths,India,Both,All ages,Environmental heat and cold exposure,Rate,1998,1.3383242959727444,1.7341683251346172,0.4503905134225069
Deaths,India,Male,All ages,Environmental heat and cold exposure,Rate,2002,1.677025082561213,2.1282666235505068,0.4918774757629106
Deaths,India,Female,All ages,Environmental heat and cold exposure,Rate,2002,0.6577074542839231,1.0064392704523173,0.14524116623772454
Deaths,India,Both,All ages,Environmental heat and cold exposure,Rate,2002,1.1860492857707463,1.5459200800526478,0.35312696558598633
Deaths,India,Male,All ages,Environmental heat and cold exposure,Rate,1992,1.6862850958928794,2.2924304184988227,0.3056589749953802
Deaths,India,Female,All ages,Environmental heat and cold exposure,Rate,1992,0.6417467984701521,1.0583696005836414,0.08390027770322783
Deaths,India,Both,All ages,Environmental heat and cold exposure,Rate,1992,1.185751429200059,1.6332632161682354,0.22950202730715288
Deaths,India,Male,All ages,Environmental heat and cold exposure,Rate,1993,1.5960973723646519,2.1423513924788895,0.26015183401411224
Deaths,India,Female,All ages,Environmental heat and cold exposure,Rate,1993,0.6115012219472898,1.0018319886429048,0.06722371288462457
Deaths,India,Both,All ages,Environmental heat and cold exposure,Rate,1993,1.1243328011626221,1.5458403177665438,0.19013353924383752
Deaths,India,Male,All ages,Environmental heat and cold exposure,Rate,1996,1.506399000996904,2.018661129931562,0.2369857616119806
