measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,1990,7430.365311642029,9970.580174097326,1346.2709213393755
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,1990,2626.2404760063005,4410.692122241833,328.9913297886199
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,1990,10056.605787648345,13842.06523809294,1933.3838583712236
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,1991,7436.049363353128,10039.684813405847,1180.385677863317
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,1991,2609.068717018745,4376.865693933557,280.28271827041806
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,1991,10045.118080371867,13901.439381683433,1721.98026913396
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,1994,7594.179710082331,10179.999362377735,1305.59903351229
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,1994,2642.1269650823233,4289.576368343772,323.6558113960422
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,1994,10236.306675164657,13991.575949739912,1886.4197233752275
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,1992,7797.455270717755,10600.297478174964,1413.3803301854668
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,1992,2730.337279701885,4502.875562551184,356.95706863914813
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,1992,10527.792550419632,14501.063120497665,2037.6528114500784
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,1998,9943.248604054212,12580.029432604284,3291.8809554417107
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,1998,3365.1011154971616,5051.252401736636,890.6494362714257
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,1998,13308.349719551365,17244.638398113802,4478.701074942676
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,1993,7520.060132606716,10093.752157956847,1225.7130857221186
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,1993,2650.390233197893,4342.175653466239,291.36339499263687
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,1993,10170.45036580461,13983.30833099144,1719.9033255585998
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,2002,9304.907383568207,11808.603237724094,2729.1627320488396
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,2002,3391.1761318142826,5189.256727817362,748.8715128498756
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,2002,12696.08351538249,16548.326178284093,3780.0532409577036
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,2006,7533.272347969838,9994.985345492323,1326.734781392181
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,2006,3185.8194916773573,5051.863193949142,344.9511576816576
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,2006,10719.091839647172,14470.636536361337,1950.537132516957
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,1996,7507.455483011919,10060.421281624911,1181.0682656004217
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,1996,2629.7419891738964,4224.474600345248,284.8728819027238
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,1996,10137.197472185808,13864.517257157611,1726.708927102449
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,1997,7784.161917346986,10382.768648623734,1239.701054237317
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,1997,2713.0263464844134,4354.32120538099,296.4906649102711
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,1997,10497.188263831407,14317.834553993767,1810.6518457565162
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,1995,7875.8698726379325,10458.684932312168,1619.3782917299284
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,1995,2722.6775352168197,4326.7489027923275,410.8455927058992
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,1995,10598.547407854756,14467.152100158779,2296.1840269802924
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,2010,7459.005096205164,9703.858227613791,1507.938660233973
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,2010,3633.4692968255513,5780.532357113105,403.9620618195614
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,2010,11092.474393030698,15013.310251246,2163.607172720043
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,1999,8015.876353938999,10628.05972299309,1363.9520615185781
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,1999,2817.6477161888406,4467.396967726798,338.2202247444455
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,1999,10833.524070127867,14679.570227226392,1932.5304396510403
