measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,India,Male,All ages,All causes,Rate,1990,986.5174368814993,1049.987720951572,926.0621357531026
Deaths,India,Female,All ages,All causes,Rate,1990,946.9577859485963,1002.1325476086407,894.482385169504
Deaths,India,Both,All ages,All causes,Rate,1990,967.5487428246374,1016.7258369701912,920.5180353892525
Deaths,India,Male,All ages,All causes,Rate,1993,940.6458728576846,997.9848232448848,883.4851574386236
Deaths,India,Female,All ages,All causes,Rate,1993,904.4205734084026,956.645088908028,856.6243552218234
Deaths,India,Both,All ages,All causes,Rate,1993,923.2886926024997,972.0208160478592,879.4978541606519
Deaths,India,Male,All ages,All causes,Rate,1991,979.2048646422272,1042.00833408681,924.2639946518032
Deaths,India,Female,All ages,All causes,Rate,1991,941.6689385692264,997.4752984402426,891.1694516176507
Deaths,India,Both,All ages,All causes,Rate,1991,961.2133927420683,1008.9377214233044,914.7330933498334
Deaths,India,Male,All ages,All causes,Rate,1992,962.9553830431072,1023.7824319272333,905.8924777891473
Deaths,India,Female,All ages,All causes,Rate,1992,939.4401520034347,993.4862340108477,891.2139525729656
Deaths,India,Both,All ages,All causes,Rate,1992,951.6870888652327,1001.1783285289911,909.6068244462349
Deaths,India,Male,All ages,All causes,Rate,1996,885.3773407689815,946.0058587602877,832.7877979985415
Deaths,India,Female,All ages,All causes,Rate,1996,828.7094320057687,880.1466982655959,782.8504788535552
Deaths,India,Both,All ages,All causes,Rate,1996,858.2000150278301,906.2379839150226,814.0130885596692
Deaths,India,Male,All ages,All causes,Rate,2000,860.3269067552532,908.6295506432451,812.628567661724
Deaths,India,Female,All ages,All causes,Rate,2000,793.0546646154077,837.5222899190467,748.8173679746194
Deaths,India,Both,All ages,All causes,Rate,2000,827.9752557058855,868.5459110097601,791.097075685156
Deaths,India,Male,All ages,All causes,Rate,2004,783.5491970232342,831.2259991012542,737.82288887828
Deaths,India,Female,All ages,All causes,Rate,2004,700.826788336653,744.454954946053,663.9223558247963
Deaths,India,Both,All ages,All causes,Rate,2004,743.6371775108968,780.1857714375996,709.0920811938018
Deaths,India,Male,All ages,All causes,Rate,1997,903.5421875238334,962.2873454325066,849.5645678297303
Deaths,India,Female,All ages,All causes,Rate,1997,836.2084607884467,887.865251805503,791.3527731459951
Deaths,India,Both,All ages,All causes,Rate,1997,871.2302635332861,916.2508584048234,830.5554574609035
Deaths,India,Male,All ages,All causes,Rate,2008,793.7170684751957,846.7423785992108,743.9164702027246
Deaths,India,Female,All ages,All causes,Rate,2008,687.6721701042721,730.7352870924713,646.7912851986009
Deaths,India,Both,All ages,All causes,Rate,2008,742.3795205952171,780.3210067370505,708.3661312273283
